state,year,unemployrate,appspc,stcode,stateshort
ALABAMA,2006,3.5,17.18254852294922,1,ALA
ALABAMA,2007,3.4000000953674316,15.093025207519531,1,ALA
ALABAMA,2008,5,17.530866622924805,1,ALA
ALABAMA,2009,9.899999618530273,19.9630126953125,1,ALA
ALABAMA,2010,9.5,15.672667503356934,1,ALA
ALABAMA,2011,9,16.65715789794922,1,ALA
ALASKA,2006,6.5,84.15457916259766,2,ALA
ALASKA,2007,6.099999904632568,64.48804473876953,2,ALA
ALASKA,2008,6.400000095367432,82.83378601074219,2,ALA
ALASKA,2009,7.699999809265137,83.03828430175781,2,ALA
ALASKA,2010,8,54.61068344116211,2,ALA
ALASKA,2011,7.599999904632568,49.81195831298828,2,ALA
ARIZONA,2006,4.099999904632568,37.95158386230469,3,ARI
ARIZONA,2007,3.700000047683716,26.405790328979492,3,ARI
ARIZONA,2008,6,33.54167556762695,3,ARI
ARIZONA,2009,9.899999618530273,44.725582122802734,3,ARI
ARIZONA,2010,10.5,38.20270919799805,3,ARI
ARIZONA,2011,9.5,31.77783966064453,3,ARI
ARKANSAS,2006,5.300000190734863,22.73456382751465,4,ARK
ARKANSAS,2007,5.300000190734863,18.295724868774414,4,ARK
ARKANSAS,2008,5.400000095367432,21.619630813598633,4,ARK
ARKANSAS,2009,7.5,28.033016204833984,4,ARK
ARKANSAS,2010,7.900000095367432,23.617292404174805,4,ARK
ARKANSAS,2011,8,16.678131103515625,4,ARK
CALIFORNIA,2006,4.900000095367432,39.772972106933594,5,CAL
CALIFORNIA,2007,5.400000095367432,34.64350891113281,5,CAL
CALIFORNIA,2008,7.199999809265137,38.38124084472656,5,CAL
CALIFORNIA,2009,11.300000190734863,48.347389221191406,5,CAL
CALIFORNIA,2010,12.399999618530273,43.76215362548828,5,CAL
CALIFORNIA,2011,11.699999809265137,38.337135314941406,5,CAL
COLORADO,2006,4.300000190734863,91.94107818603516,6,COL
COLORADO,2007,3.799999952316284,74.75849914550781,6,COL
COLORADO,2008,4.800000190734863,93.61298370361328,6,COL
COLORADO,2009,8.100000381469727,98.71141815185547,6,COL
COLORADO,2010,8.899999618530273,85.58367156982422,6,COL
COLORADO,2011,8.300000190734863,75.633270263671875,6,COL
CONNECTICUT,2006,4.400000095367432,46.19584274291992,7,CON
CONNECTICUT,2007,4.599999904632568,40.70362091064453,7,CON
CONNECTICUT,2008,5.599999904632568,49.67267608642578,7,CON
CONNECTICUT,2009,8.199999809265137,54.003536224365234,7,CON
CONNECTICUT,2010,9.300000190734863,47.266143798828125,7,CON
CONNECTICUT,2011,8.800000190734863,38.26057815551758,7,CON
DELAWARE,2006,3.5,48.06441116333008,8,DEL
DELAWARE,2007,3.5,38.154876708984375,8,DEL
DELAWARE,2008,4.800000190734863,29.6732177734375,8,DEL
DELAWARE,2009,7.900000095367432,41.802146911621094,8,DEL
DELAWARE,2010,8,32.229671478271484,8,DEL
DELAWARE,2011,7.300000190734863,39.68538284301758,8,DEL
DISTRICT OF COLUMBIA,2006,5.699999809265137,361.3149719238281,9,DIS
DISTRICT OF COLUMBIA,2007,5.5,330.8271179199219,9,DIS
DISTRICT OF COLUMBIA,2008,6.599999904632568,313.5199890136719,9,DIS
DISTRICT OF COLUMBIA,2009,9.699999809265137,311.8449401855469,9,DIS
DISTRICT OF COLUMBIA,2010,10.100000381469727,360.38299560546875,9,DIS
DISTRICT OF COLUMBIA,2011,10.199999809265137,299.35467529296875,9,DIS
FLORIDA,2006,3.299999952316284,25.762216567993164,10,FLO
FLORIDA,2007,4,23.635116577148438,10,FLO
FLORIDA,2008,6.300000190734863,33.16348648071289,10,FLO
FLORIDA,2009,10.399999618530273,35.00922775268555,10,FLO
FLORIDA,2010,11.300000190734863,35.034427642822266,10,FLO
FLORIDA,2011,10.5,31.588542938232422,10,FLO
GEORGIA,2006,4.699999809265137,28.509920120239258,11,GEO
GEORGIA,2007,4.599999904632568,29.05463981628418,11,GEO
GEORGIA,2008,6.300000190734863,37.43102264404297,11,GEO
GEORGIA,2009,9.800000190734863,41.81414031982422,11,GEO
GEORGIA,2010,10.199999809265137,47.26035690307617,11,GEO
GEORGIA,2011,9.800000190734863,33.62128829956055,11,GEO
HAWAII,2006,2.5,50.172508239746094,12,HAW
HAWAII,2007,2.700000047683716,45.4249267578125,12,HAW
HAWAII,2008,4.099999904632568,55.146446228027344,12,HAW
HAWAII,2009,6.900000095367432,66.40013885498047,12,HAW
HAWAII,2010,6.900000095367432,49.87681198120117,12,HAW
HAWAII,2011,6.699999809265137,42.91501998901367,12,HAW
IDAHO,2006,3,45.75212097167969,13,IDA
IDAHO,2007,3,42.68815231323242,13,IDA
IDAHO,2008,4.699999809265137,60.8835563659668,13,IDA
IDAHO,2009,7.400000095367432,55.634586334228516,13,IDA
IDAHO,2010,8.800000190734863,47.7371940612793,13,IDA
IDAHO,2011,8.699999809265137,52.99734878540039,13,IDA
ILLINOIS,2006,4.599999904632568,42.69535446166992,14,ILL
ILLINOIS,2007,5.099999904632568,42.25544738769531,14,ILL
ILLINOIS,2008,6.400000095367432,46.87395095825195,14,ILL
ILLINOIS,2009,10,55.76895523071289,14,ILL
ILLINOIS,2010,10.5,43.84059143066406,14,ILL
ILLINOIS,2011,9.800000190734863,41.8050537109375,14,ILL
INDIANA,2006,5,42.8455810546875,15,IND
INDIANA,2007,4.599999904632568,36.085079193115234,15,IND
INDIANA,2008,5.800000190734863,39.447059631347656,15,IND
INDIANA,2009,10.399999618530273,42.81412887573242,15,IND
INDIANA,2010,10.100000381469727,37.1304931640625,15,IND
INDIANA,2011,9,35.90652084350586,15,IND
IOWA,2006,3.700000047683716,38.1191291809082,16,IOW
IOWA,2007,3.799999952316284,40.621490478515625,16,IOW
IOWA,2008,4,46.426387786865234,16,IOW
IOWA,2009,6.199999809265137,55.188812255859375,16,IOW
IOWA,2010,6.300000190734863,42.947975158691406,16,IOW
IOWA,2011,5.900000095367432,45.390586853027344,16,IOW
KANSAS,2006,4.400000095367432,52.98109436035156,17,KAN
KANSAS,2007,4.099999904632568,36.38871383666992,17,KAN
KANSAS,2008,4.400000095367432,49.6894416809082,17,KAN
KANSAS,2009,7.199999809265137,48.60315704345703,17,KAN
KANSAS,2010,7.199999809265137,47.91645431518555,17,KAN
KANSAS,2011,6.699999809265137,36.221309661865234,17,KAN
KENTUCKY,2006,5.900000095367432,30.336254119873047,18,KEN
KENTUCKY,2007,5.599999904632568,20.440393447875977,18,KEN
KENTUCKY,2008,6.599999904632568,29.151588439941406,18,KEN
KENTUCKY,2009,10.300000190734863,30.365453720092773,18,KEN
KENTUCKY,2010,10.199999809265137,29.214052200317383,18,KEN
KENTUCKY,2011,9.5,25.633068084716797,18,KEN
LOUISIANA,2006,3.9000000953674316,17.45148468017578,19,LOU
LOUISIANA,2007,3.799999952316284,17.823999404907227,19,LOU
LOUISIANA,2008,4.400000095367432,18.196060180664062,19,LOU
LOUISIANA,2009,6.599999904632568,20.035280227661133,19,LOU
LOUISIANA,2010,7.5,19.360475540161133,19,LOU
LOUISIANA,2011,7.300000190734863,19.89142417907715,19,LOU
MAINE,2006,4.699999809265137,74.52680969238281,20,MAI
MAINE,2007,4.699999809265137,62.24816131591797,20,MAI
MAINE,2008,5.400000095367432,77.29081726074219,20,MAI
MAINE,2009,8.100000381469727,82.68218231201172,20,MAI
MAINE,2010,8.199999809265137,69.30951690673828,20,MAI
MAINE,2011,7.5,54.96209716796875,20,MAI
MARYLAND,2006,3.799999952316284,66.81876373291016,21,MAR
MARYLAND,2007,3.4000000953674316,56.97305679321289,21,MAR
MARYLAND,2008,4.300000190734863,59.731510162353516,21,MAR
MARYLAND,2009,7.400000095367432,69.8309555053711,21,MAR
MARYLAND,2010,7.800000190734863,58.247249603271484,21,MAR
MARYLAND,2011,7,57.306697845458984,21,MAR
MASSACHUSETTS,2006,4.800000190734863,60.77571105957031,22,MAS
MASSACHUSETTS,2007,4.5,51.69807434082031,22,MAS
MASSACHUSETTS,2008,5.300000190734863,60.97565460205078,22,MAS
MASSACHUSETTS,2009,8.199999809265137,75.07294464111328,22,MAS
MASSACHUSETTS,2010,8.300000190734863,66.05175018310547,22,MAS
MASSACHUSETTS,2011,7.400000095367432,56.01487350463867,22,MAS
MICHIGAN,2006,6.900000095367432,41.954139709472656,23,MIC
MICHIGAN,2007,7.099999904632568,41.19055938720703,23,MIC
MICHIGAN,2008,8.300000190734863,48.188018798828125,23,MIC
MICHIGAN,2009,13.399999618530273,53.662452697753906,23,MIC
MICHIGAN,2010,12.699999809265137,45.25600051879883,23,MIC
MICHIGAN,2011,10.300000190734863,45.15913009643555,23,MIC
MINNESOTA,2006,4.099999904632568,57.68843078613281,24,MIN
MINNESOTA,2007,4.699999809265137,58.17530822753906,24,MIN
MINNESOTA,2008,5.400000095367432,58.88462829589844,24,MIN
MINNESOTA,2009,8,77.285125732421875,24,MIN
MINNESOTA,2010,7.300000190734863,59.31468200683594,24,MIN
MINNESOTA,2011,6.400000095367432,61.5544548034668,24,MIN
MISSISSIPPI,2006,6.800000190734863,9.66466999053955,25,MIS
MISSISSIPPI,2007,6.300000190734863,7.872067451477051,25,MIS
MISSISSIPPI,2008,6.800000190734863,14.9649076461792,25,MIS
MISSISSIPPI,2009,9.399999618530273,14.566415786743164,25,MIS
MISSISSIPPI,2010,10.5,15.151147842407227,25,MIS
MISSISSIPPI,2011,10.699999809265137,12.758048057556152,25,MIS
MISSOURI,2006,4.800000190734863,32.75571823120117,26,MIS
MISSOURI,2007,5,33.334327697753906,26,MIS
MISSOURI,2008,5.900000095367432,38.614349365234375,26,MIS
MISSOURI,2009,9.399999618530273,43.4232177734375,26,MIS
MISSOURI,2010,9.399999618530273,38.861087799072266,26,MIS
MISSOURI,2011,8.600000381469727,36.60146713256836,26,MIS
MONTANA,2006,3.200000047683716,85.60286712646484,27,MON
MONTANA,2007,3.4000000953674316,76.262115478515625,27,MON
MONTANA,2008,4.5,92.97184753417969,27,MON
MONTANA,2009,6.099999904632568,107.69351959228516,27,MON
MONTANA,2010,6.900000095367432,73.66609191894531,27,MON
MONTANA,2011,6.800000190734863,57.102840423583984,27,MON
NEBRASKA,2006,3,48.8515625,28,NEB
NEBRASKA,2007,3,32.769989013671875,28,NEB
NEBRASKA,2008,3.299999952316284,39.84401321411133,28,NEB
NEBRASKA,2009,4.699999809265137,44.52808380126953,28,NEB
NEBRASKA,2010,4.699999809265137,44.25888442993164,28,NEB
NEBRASKA,2011,4.400000095367432,40.702449798583984,28,NEB
NEVADA,2006,4.199999809265137,26.870885848999023,29,NEV
NEVADA,2007,4.699999809265137,31.545103073120117,29,NEV
NEVADA,2008,7,33.64207458496094,29,NEV
NEVADA,2009,11.600000381469727,41.99637985229492,29,NEV
NEVADA,2010,13.699999809265137,26.994216918945312,29,NEV
NEVADA,2011,13.5,26.805496215820312,29,NEV
NEW HAMPSHIRE,2006,3.5,60.98053741455078,30,NEW
NEW HAMPSHIRE,2007,3.5,70.596649169921875,30,NEW
NEW HAMPSHIRE,2008,3.9000000953674316,66.57225799560547,30,NEW
NEW HAMPSHIRE,2009,6.199999809265137,82.29054260253906,30,NEW
NEW HAMPSHIRE,2010,6.099999904632568,69.86597442626953,30,NEW
