DistNumber,Year,OnCycle,LnAvgSalary,CycleSwitch
4800001,2003,0,10.636093139648438,0
4800001,2004,0,10.608062744140625,0
4800001,2005,0,10.589192390441895,0
4800001,2006,0,10.612335205078125,0
4800001,2007,0,10.600157737731934,0
4800001,2008,0,10.582966804504395,0
4800001,2009,0,10.618715286254883,0
4800002,2003,0,10.632994651794434,0
4800002,2004,0,10.612252235412598,0
4800002,2005,0,10.60196590423584,0
4800002,2006,0,10.661432266235352,0
4800002,2007,0,10.65324878692627,0
4800002,2008,0,10.664667129516602,0
4800002,2009,0,10.710704803466797,0
4800003,2003,0,10.666827201843262,0
4800003,2004,0,10.579105377197266,0
4800003,2005,0,10.560867309570312,0
4800003,2006,0,10.64022159576416,0
4800003,2007,0,10.617607116699219,0
4800003,2008,0,10.654973983764648,0
4800003,2009,0,10.671152114868164,0
4800005,2003,0,10.602059364318848,0
4800005,2004,0,10.522236824035645,0
4800005,2005,0,10.482149124145508,0
4800005,2006,0,10.617643356323242,0
4800005,2007,0,10.613792419433594,0
4800005,2008,0,10.646234512329102,0
4800005,2009,0,10.677183151245117,0
4800006,2003,0,10.63446044921875,0
4800006,2004,0,10.634477615356445,0
4800006,2005,0,10.664085388183594,0
4800006,2006,0,10.687564849853516,0
4800006,2007,0,10.671215057373047,0
4800006,2008,0,10.647113800048828,0
4800006,2009,0,10.614937782287598,0
4800007,2003,0,10.641589164733887,1
4800007,2004,0,10.601646423339844,1
4800007,2005,0,10.546051979064941,1
4800007,2006,0,10.531746864318848,1
4800007,2007,1,10.592637062072754,1
4800007,2008,1,10.640005111694336,1
4800007,2009,1,10.670533180236816,1
4800008,2003,0,10.701924324035645,0
4800008,2004,0,10.702934265136719,0
4800008,2005,0,10.706833839416504,0
4800008,2006,0,10.749804496765137,0
4800008,2007,0,10.766498565673828,0
4800008,2008,0,10.76401138305664,0
4800008,2009,0,10.779984474182129,0
4800009,2003,0,10.758401870727539,0
4800009,2004,0,10.69606876373291,0
4800009,2005,0,10.705477714538574,0
4800009,2006,0,10.767606735229492,0
4800009,2007,0,10.771937370300293,0
4800009,2008,0,10.789546012878418,0
4800009,2009,0,10.807427406311035,0
4800010,2003,0,10.694843292236328,0
4800010,2004,0,10.673444747924805,0
4800010,2005,0,10.6551513671875,0
4800010,2006,0,10.680327415466309,0
4800010,2007,0,10.681225776672363,0
4800010,2008,0,10.664923667907715,0
4800010,2009,0,10.686426162719727,0
4800011,2003,0,10.687338829040527,0
4800011,2004,0,10.683135986328125,0
4800011,2005,0,10.67054271697998,0
4800011,2006,0,10.744927406311035,0
4800011,2007,0,10.717928886413574,0
4800011,2008,0,10.724499702453613,0
4800011,2009,0,10.722883224487305,0
4800012,2003,0,10.623387336730957,0
4800012,2004,0,10.599658966064453,0
4800012,2005,0,10.59237289428711,0
4800012,2006,0,10.634242057800293,0
4800012,2007,0,10.617253303527832,0
4800012,2008,0,10.603933334350586,0
4800012,2009,0,10.63150405883789,0
4807350,2003,0,10.7636137008667,0
4807350,2004,0,10.7411470413208,0
4807350,2005,0,10.724678039550781,0
4807350,2006,0,10.75059986114502,0
4807350,2007,0,10.740079879760742,0
4807350,2008,0,10.750964164733887,0
4807350,2009,0,10.787880897521973,0
4807380,2003,0,10.67500114440918,0
4807380,2004,0,10.709473609924316,0
4807380,2005,0,10.691519737243652,0
4807380,2006,0,10.656926155090332,0
4807380,2007,0,10.630708694458008,0
4807380,2008,0,10.632749557495117,0
4807380,2009,0,10.672445297241211,0
4807410,2003,0,10.741186141967773,0
4807410,2004,0,10.696043014526367,0
4807410,2005,0,10.671232223510742,0
4807410,2006,0,10.685675621032715,0
4807410,2007,0,10.644524574279785,0
4807410,2008,0,10.624979019165039,0
4807410,2009,0,10.669819831848145,0
4807440,2003,0,10.743133544921875,0
4807440,2004,0,10.723880767822266,0
4807440,2005,0,10.69710636138916,0
4807440,2006,0,10.73659896850586,0
4807440,2007,0,10.713791847229004,0
4807440,2008,0,10.703828811645508,0
4807440,2009,0,10.722817420959473,0
4807470,2003,0,10.668543815612793,0
4807470,2004,0,10.69513988494873,0
4807470,2005,0,10.658982276916504,0
4807470,2006,0,10.705668449401855,0
4807470,2007,0,10.71875,0
4807470,2008,0,10.717988967895508,0
4807470,2009,0,10.74053955078125,0
4807500,2003,0,10.67600154876709,0
4807500,2004,0,10.631647109985352,0
4807500,2005,0,10.679594039916992,0
4807500,2006,0,10.704812049865723,0
4807500,2007,0,10.668749809265137,0
4807500,2008,0,10.621230125427246,0
4807500,2009,0,10.659849166870117,0
4807530,2003,0,10.62753677368164,0
4807530,2004,0,10.666053771972656,0
4807530,2005,0,10.671002388000488,0
4807530,2006,0,10.714303970336914,0
4807530,2007,0,10.646119117736816,0
4807530,2008,0,10.62728500366211,0
4807530,2009,0,10.623162269592285,0
4807590,2003,0,10.89752197265625,0
4807590,2004,0,10.877117156982422,0
4807590,2005,0,10.862868309020996,0
4807590,2006,0,10.882616996765137,0
4807590,2007,0,10.91110897064209,0
4807590,2008,0,10.906890869140625,0
4807590,2009,0,10.929909706115723,0
4807650,2003,0,10.60138988494873,0
4807650,2004,0,10.583244323730469,0
4807650,2005,0,10.579084396362305,0
4807650,2006,0,10.643893241882324,0
4807650,2007,0,10.59227466583252,0
4807650,2008,0,10.565840721130371,0
4807650,2009,0,10.573771476745605,0
4807680,2003,0,10.692906379699707,0
4807680,2004,0,10.636643409729004,0
4807680,2005,0,10.607257843017578,0
4807680,2006,0,10.638773918151855,0
4807680,2007,0,10.646289825439453,0
4807680,2008,0,10.630867004394531,0
4807680,2009,0,10.693105697631836,0
4807710,2003,0,10.860068321228027,0
4807710,2004,0,10.858362197875977,0
4807710,2005,0,10.83303165435791,0
4807710,2006,0,10.850120544433594,0
